ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag,Record_Service_Type_Code,Record_Service_Type_Name,Type_Group_Code,Type_Group_Name,Company_Normalized,Location_Normalized,Address_Normalized,Location_Cluster_ID,Cluster_Record_Count,Cluster_Company_Count,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Companies,Cluster_Review_Required
11,InPost,Convenience Stores,Privada,Premises,Barcelona,8002,Taha Mobile Shop,"Carrer d'Avinyó, 29",41.3807051756484,2.17844139729165,InPost,Convenience stores,Private,Premises,Barcelona,Taha Mobile Shop,"Carrer d'Avinyó, 29",8002,,,,7,Convenience Store,1,PUDO,INPOST,TAHA MOBILE SHOP,CARRER D AVINYO 29,BAR_LOC_000011,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
12,InPost,Convenience Stores,Privada,Premises,Barcelona,8002,Te Habla Mobile Mobile,"Carrer de Josep Anselm Clavé, 27",41.3781916324103,2.17809735496309,InPost,Convenience stores,Private,Premises,Barcelona,Te Habla Mobile Mobile,"Carrer de Josep Anselm Clavé, 27",8002,,,,7,Convenience Store,1,PUDO,INPOST,TE HABLA MOBILE MOBILE,CARRER DE JOSEP ANSELM CLAVE 27,BAR_LOC_000012,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
13,InPost,Convenience Stores,Privada,Premises,Barcelona,8002,Libreria Balmes,"Carrer de Duran i Bas, 11",41.3858130621934,2.17457318379919,InPost,Convenience stores,Private,Premises,Barcelona,Libreria Balmes,"Carrer de Duran i Bas, 11",8002,,,,7,Convenience Store,1,PUDO,INPOST,LIBRERIA BALMES,CARRER DE DURAN I BAS 11,BAR_LOC_000013,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
14,InPost,Convenience Stores,Privada,Premises,Barcelona,8003,Estanc Bcn 159,"Placeta de Montcada, 6",41.3845510158781,2.1819845972918,InPost,Convenience stores,Private,Premises,Barcelona,Estanc Bcn 159,"Placeta de Montcada, 6",8003,,,,7,Convenience Store,1,PUDO,INPOST,ESTANC BCN 159,PLACETA DE MONTCADA 6,BAR_LOC_000014,2,2,False,True,False,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",12.18,1,High,InPost | Mail Boxes Etc,False
15,InPost,Locker,Privada,Parking,Barcelona,8003,Lockers 24/7 Saba Barceloneta Ba,"Carrer del Baluard, 27S",41.3800918274706,2.18905622612742,InPost,Lockers,Private,Parking,Barcelona,Lockers 24/7 Saba Barceloneta Ba,"Carrer del Baluard, 27S",8003,,,,1,Locker,1,PUDO,INPOST,LOCKERS 24 7 SABA BARCELONETA BA,CARRER DEL BALUARD 27S,BAR_LOC_000015,4,4,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",61.72,3,Review,InPost | Pudo | SEUR | UPS,True
16,InPost,Convenience Stores,Privada,Premises,Barcelona,8003,Punto Y Coma,Carrer De Pepe Rubianes 12,41.3783793814063,2.18931782427689,InPost,Convenience stores,Private,Premises,Barcelona,Punto Y Coma,Carrer De Pepe Rubianes 12,8003,,,,7,Convenience Store,1,PUDO,INPOST,PUNTO Y COMA,CARRER DE PEPE RUBIANES 12,BAR_LOC_000016,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
17,InPost,Convenience Stores,Privada,Premises,Barcelona,8003,Instalaciones De La Fuente,"Carrer de la Mediterrània, 4",41.382051022256,2.18890386845596,InPost,Convenience stores,Private,Premises,Barcelona,Instalaciones De La Fuente,"Carrer de la Mediterrània, 4",8003,,,,7,Convenience Store,1,PUDO,INPOST,INSTALACIONES DE LA FUENTE,CARRER DE LA MEDITERRANIA 4,BAR_LOC_000017,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
18,InPost,Convenience Stores,Privada,Premises,Barcelona,8003,Estanc La Barceloneta,"Carrer d'Andrea Dòria, 8",41.3802820275397,2.18994731078431,InPost,Convenience stores,Private,Premises,Barcelona,Estanc La Barceloneta,"Carrer d'Andrea Dòria, 8",8003,,,,7,Convenience Store,1,PUDO,INPOST,ESTANC LA BARCELONETA,CARRER D ANDREA DORIA 8,BAR_LOC_000018,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
19,InPost,Convenience Stores,Privada,Premises,Barcelona,8003,Mega Mobile,"Carrer de Sant Pere Més Baix, 92",41.3888584538985,2.17937669729201,InPost,Convenience stores,Private,Premises,Barcelona,Mega Mobile,"Carrer de Sant Pere Més Baix, 92",8003,,,,7,Convenience Store,1,PUDO,INPOST,MEGA MOBILE,CARRER DE SANT PERE MES BAIX 92,BAR_LOC_000019,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",23.22,2,Medium,Ctt Express | InPost,False
20,InPost,Convenience Stores,Privada,Premises,Barcelona,8003,La Casa De Les Sabatilles,"Carrer de Sant Pere Més Alt, 76",41.3896218009452,2.17844246845625,InPost,Convenience stores,Private,Premises,Barcelona,La Casa De Les Sabatilles,"Carrer de Sant Pere Més Alt, 76",8003,,,,7,Convenience Store,1,PUDO,INPOST,LA CASA DE LES SABATILLES,CARRER DE SANT PERE MES ALT 76,BAR_LOC_000020,2,1,False,False,False,False,False,False,True,False,5,Convenience Store only,2,"Same company, multiple records",8.07,1,High,InPost,False
21,InPost,Convenience Stores,Privada,Premises,Barcelona,8003,Mamy Blu,"Carrer de Méndez Núñez, 4",41.3896942060518,2.178449397292,InPost,Convenience stores,Private,Premises,Barcelona,Mamy Blu,"Carrer de Méndez Núñez, 4",8003,,,,7,Convenience Store,1,PUDO,INPOST,MAMY BLU,CARRER DE MENDEZ NUNEZ 4,BAR_LOC_000020,2,1,False,False,False,False,False,False,True,False,5,Convenience Store only,2,"Same company, multiple records",8.07,1,High,InPost,False
22,InPost,Locker,Privada,Parking,Barcelona,8003,Lockers 24/7 Parking Bamsa Franc,"Av. de Francesc Cambó, 10",41.3857495119719,2.17724629544143,InPost,Lockers,Private,Parking,Barcelona,Lockers 24/7 Parking Bamsa Franc,"Av. de Francesc Cambó, 10",8003,,,,1,Locker,1,PUDO,INPOST,LOCKERS 24 7 PARKING BAMSA FRANC,AV DE FRANCESC CAMBO 10,BAR_LOC_000021,4,4,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",59.75,3,Review,InPost | Pudo | SEUR | UPS,True
23,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Envios Radas 25 Sl,"Carrer de Radas, 9",41.3744676400917,2.1613081972914,InPost,Convenience stores,Private,Premises,Barcelona,Envios Radas 25 Sl,"Carrer de Radas, 9",8004,,,,7,Convenience Store,1,PUDO,INPOST,ENVIOS RADAS 25 SL,CARRER DE RADAS 9,BAR_LOC_000022,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",4.47,1,High,Amazon | InPost,False
24,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Mi Casa Plantas,"Carrer de la Concòrdia, 36",41.3733129496731,2.15982562612715,InPost,Convenience stores,Private,Premises,Barcelona,Mi Casa Plantas,"Carrer de la Concòrdia, 36",8004,,,,7,Convenience Store,1,PUDO,INPOST,MI CASA PLANTAS,CARRER DE LA CONCORDIA 36,BAR_LOC_000023,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",2.0,1,High,Amazon | InPost,False
25,InPost,Locker,Privada,Parking,Barcelona,8004,Lockers 24/7 Parking Grupo Bolto,"Carrer de la Concòrdia, 19",41.3734622958289,2.16016781078405,InPost,Lockers,Private,Parking,Barcelona,Lockers 24/7 Parking Grupo Bolto,"Carrer de la Concòrdia, 19",8004,,,,1,Locker,1,PUDO,INPOST,LOCKERS 24 7 PARKING GRUPO BOLTO,CARRER DE LA CONCORDIA 19,BAR_LOC_000024,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
26,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Red Diamond Manos Emprendedoras,"Carrer de Murillo, 5",41.3730434457922,2.1621152819482,InPost,Convenience stores,Private,Premises,Barcelona,Red Diamond Manos Emprendedoras,"Carrer de Murillo, 5",8004,,,,7,Convenience Store,1,PUDO,INPOST,RED DIAMOND MANOS EMPRENDEDORAS,CARRER DE MURILLO 5,BAR_LOC_000025,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
27,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Manikurate,"Carrer de Vallhonrat, 21",41.3741188471792,2.15716524147026,InPost,Convenience stores,Private,Premises,Barcelona,Manikurate,"Carrer de Vallhonrat, 21",8004,,,,7,Convenience Store,1,PUDO,INPOST,MANIKURATE,CARRER DE VALLHONRAT 21,BAR_LOC_000026,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
28,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Clickstar Movil,"Av. del Paralelo, 165",41.3748508863417,2.1564566684556,InPost,Convenience stores,Private,Premises,Barcelona,Clickstar Movil,"Av. del Paralelo, 165",8004,,,,7,Convenience Store,1,PUDO,INPOST,CLICKSTAR MOVIL,AV DEL PARALELO 165,BAR_LOC_000027,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
29,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Bibliomusicineteca Llibreria,"Calle de Vila i Vila, 76",41.3746247416821,2.16853225496299,InPost,Convenience stores,Private,Premises,Barcelona,Bibliomusicineteca Llibreria,"Calle de Vila i Vila, 76",8004,,,,7,Convenience Store,1,PUDO,INPOST,BIBLIOMUSICINETECA LLIBRERIA,CALLE DE VILA I VILA 76,BAR_LOC_000028,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
30,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,La Matalasseria,"Carrer del Roser, 6",41.374452693132,2.16721338379874,InPost,Convenience stores,Private,Premises,Barcelona,La Matalasseria,"Carrer del Roser, 6",8004,,,,7,Convenience Store,1,PUDO,INPOST,LA MATALASSERIA,CARRER DEL ROSER 6,BAR_LOC_000029,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.34,1,High,Dhl | InPost,False
31,InPost,Locker,Privada,Premises,Barcelona,8004,Lockers Envios Roser,"Carrer del Roser, 12",41.3741668876965,2.16690075496291,InPost,Lockers,Private,Premises,Barcelona,Lockers Envios Roser,"Carrer del Roser, 12",8004,,,,1,Locker,1,PUDO,INPOST,LOCKERS ENVIOS ROSER,CARRER DEL ROSER 12,BAR_LOC_000030,2,2,True,False,False,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",5.54,1,High,InPost | SEUR,False
32,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Haaf Medios Digitales,"Carrer de Piquer, 37",41.373372542667,2.16894995496294,InPost,Convenience stores,Private,Premises,Barcelona,Haaf Medios Digitales,"Carrer de Piquer, 37",8004,,,,7,Convenience Store,1,PUDO,INPOST,HAAF MEDIOS DIGITALES,CARRER DE PIQUER 37,BAR_LOC_000031,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",3.64,1,High,InPost | SEUR,False
33,InPost,Locker,Privada,Premises,Barcelona,8004,Lockers Money Exchange 08004,"Carrer de Mata, 1",41.373559595564,2.17116225311247,InPost,Lockers,Private,Premises,Barcelona,Lockers Money Exchange 08004,"Carrer de Mata, 1",8004,,,,1,Locker,1,PUDO,INPOST,LOCKERS MONEY EXCHANGE 08004,CARRER DE MATA 1,BAR_LOC_000032,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
34,InPost,Convenience Stores,Privada,Premises,Barcelona,8004,Musculmania,Gran Via de les Corts Catalanes,41.3940873910828,2.17453995311332,InPost,Convenience stores,Private,Premises,Barcelona,Musculmania,Gran Via de les Corts Catalanes,8004,,,,7,Convenience Store,1,PUDO,INPOST,MUSCULMANIA,GRAN VIA DE LES CORTS CATALANES,BAR_LOC_000033,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
35,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Expendeduria 63,"Rbla. del Poblenou, 51",41.400322679271,2.202055095442,InPost,Convenience stores,Private,Premises,Barcelona,Expendeduria 63,"Rbla. del Poblenou, 51",8005,,,,7,Convenience Store,1,PUDO,INPOST,EXPENDEDURIA 63,RBLA DEL POBLENOU 51,BAR_LOC_000034,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
36,InPost,Locker,Privada,Premises,Barcelona,8005,Lockers 24/7 Q8 Taulat,"CCarrer de la Ciutat de Granada, 1",41.3962535033943,2.20109527030692,InPost,Lockers,Private,Premises,Barcelona,Lockers 24/7 Q8 Taulat,"CCarrer de la Ciutat de Granada, 1",8005,,,,1,Locker,1,PUDO,INPOST,LOCKERS 24 7 Q8 TAULAT,CCARRER DE LA CIUTAT DE GRANADA 1,BAR_LOC_000035,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
37,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Estanc 316,"Carrer de l'Arquitecte Sert, 18",41.3917751993814,2.19853223962056,InPost,Convenience stores,Private,Premises,Barcelona,Estanc 316,"Carrer de l'Arquitecte Sert, 18",8005,,,,7,Convenience Store,1,PUDO,INPOST,ESTANC 316,CARRER DE L ARQUITECTE SERT 18,BAR_LOC_000036,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
38,InPost,Locker,Pública,Parking,Barcelona,8005,Lockers 24/7 Bsm Parking Bilbao,"Carrer de Bilbao, 29",41.4014433672769,2.20548462612825,InPost,Lockers,Public,Parking,Barcelona,Lockers 24/7 Bsm Parking Bilbao,"Carrer de Bilbao, 29",8005,,,,1,Locker,1,PUDO,INPOST,LOCKERS 24 7 BSM PARKING BILBAO,CARRER DE BILBAO 29,BAR_LOC_000037,3,3,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",40.09,3,Review,Correos | InPost | SEUR,True
39,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Narosa Sweet Party,"Carrer de Marià Aguiló, 129",41.4001671230919,2.20542768379981,InPost,Convenience stores,Private,Premises,Barcelona,Narosa Sweet Party,"Carrer de Marià Aguiló, 129",8005,,,,7,Convenience Store,1,PUDO,INPOST,NAROSA SWEET PARTY,CARRER DE MARIA AGUILO 129,BAR_LOC_000038,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
40,InPost,Locker,Privada,Premises,Barcelona,8005,Lockers Tmb Bogatell L4,"Carrer de Pujades, 82",41.3955013358031,2.19261368194915,InPost,Lockers,Private,Premises,Barcelona,Lockers Tmb Bogatell L4,"Carrer de Pujades, 82",8005,,,,1,Locker,1,PUDO,INPOST,LOCKERS TMB BOGATELL L4,CARRER DE PUJADES 82,BAR_LOC_000039,1,1,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,InPost,False
41,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Farmacia Bogatell Bcn,"Av. del Bogatell, 19",41.3929393325321,2.19644468194905,InPost,Convenience stores,Private,Premises,Barcelona,Farmacia Bogatell Bcn,"Av. del Bogatell, 19",8005,,,,7,Convenience Store,1,PUDO,INPOST,FARMACIA BOGATELL BCN,AV DEL BOGATELL 19,BAR_LOC_000040,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
42,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Papeleria Copi Rapit,"Carrer del Joncar, 47",41.4023915876346,2.20519287824853,InPost,Convenience stores,Private,Premises,Barcelona,Papeleria Copi Rapit,"Carrer del Joncar, 47",8005,,,,7,Convenience Store,1,PUDO,INPOST,PAPELERIA COPI RAPIT,CARRER DEL JONCAR 47,BAR_LOC_000041,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",21.93,2,Medium,InPost | SEUR,False
43,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Bol Mobils,"Carrer de la Marina, 22",41.3889634567925,2.19542123962042,InPost,Convenience stores,Private,Premises,Barcelona,Bol Mobils,"Carrer de la Marina, 22",8005,,,,7,Convenience Store,1,PUDO,INPOST,BOL MOBILS,CARRER DE LA MARINA 22,BAR_LOC_000042,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",57.07,3,Review,Ctt Express | InPost | UPS,True
44,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Lestanc De Loscar,"Rbla. del Poblenou, 77",41.401850975675,2.20017708194942,InPost,Convenience stores,Private,Premises,Barcelona,Lestanc De Loscar,"Rbla. del Poblenou, 77",8005,,,,7,Convenience Store,1,PUDO,INPOST,LESTANC DE LOSCAR,RBLA DEL POBLENOU 77,BAR_LOC_000043,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
45,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Mail Boxes Etc,"Carrer de Bilbao, 91",41.4044503168453,2.20140901263572,InPost,Convenience stores,Private,Premises,Barcelona,Mail Boxes Etc,"Carrer de Bilbao, 91",8005,,,,7,Convenience Store,1,PUDO,INPOST,MAIL BOXES ETC,CARRER DE BILBAO 91,BAR_LOC_000044,5,5,False,True,False,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",47.51,3,Review,Celeritas | Gls | InPost | Mail Boxes Etc | UPS,True
46,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,La Rotonda Port Olimpic,"Carrer de la Marina, 16",41.3877316114756,2.19718249544149,InPost,Convenience stores,Private,Premises,Barcelona,La Rotonda Port Olimpic,"Carrer de la Marina, 16",8005,,,,7,Convenience Store,1,PUDO,INPOST,LA ROTONDA PORT OLIMPIC,CARRER DE LA MARINA 16,BAR_LOC_000045,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",48.07,3,Review,Gls | InPost | UPS,True
47,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Papeleria La Mar De Papers,"P.o del Taulat, 156",41.4026602687889,2.21023235311369,InPost,Convenience stores,Private,Premises,Barcelona,Papeleria La Mar De Papers,"P.º del Taulat, 156",8005,,,,7,Convenience Store,1,PUDO,INPOST,PAPELERIA LA MAR DE PAPERS,P O DEL TAULAT 156,BAR_LOC_000046,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
48,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,Hebell,"Cam. Antiguo de Valencia, 89",41.4070326634817,2.20395478380007,InPost,Convenience stores,Private,Premises,Barcelona,Hebell,"Cam. Antiguo de Valencia, 89",8005,,,,7,Convenience Store,1,PUDO,INPOST,HEBELL,CAM ANTIGUO DE VALENCIA 89,BAR_LOC_000047,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",5.86,1,High,InPost | SEUR,False
49,InPost,Locker,Pública,Parking,Barcelona,8005,Lockers 24/7 Bsm Litoral Port,"Av. del Litoral, 34",41.3884443550264,2.19784873962043,InPost,Lockers,Public,Parking,Barcelona,Lockers 24/7 Bsm Litoral Port,"Av. del Litoral, 34",8005,,,,1,Locker,1,PUDO,INPOST,LOCKERS 24 7 BSM LITORAL PORT,AV DEL LITORAL 34,BAR_LOC_000048,2,2,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",10.61,1,High,InPost | SEUR,False
50,InPost,Convenience Stores,Privada,Premises,Barcelona,8005,La Gelateria Di Leonardo,"C/ de Llull, 23",41.3922281447196,2.18969558194901,InPost,Convenience stores,Private,Premises,Barcelona,La Gelateria Di Leonardo,"C/ de Llull, 23",8005,,,,7,Convenience Store,1,PUDO,INPOST,LA GELATERIA DI LEONARDO,C DE LLULL 23,BAR_LOC_000049,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
51,InPost,Convenience Stores,Privada,Premises,Barcelona,8006,Foto Rodri,"Carrer de Lincoln, 42",41.4023871219558,2.14740602427788,InPost,Convenience stores,Private,Premises,Barcelona,Foto Rodri,"Carrer de Lincoln, 42",8006,,,,7,Convenience Store,1,PUDO,INPOST,FOTO RODRI,CARRER DE LINCOLN 42,BAR_LOC_000050,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
52,InPost,Convenience Stores,Privada,Premises,Barcelona,8006,Aribau Moviles Y Informatica,"Carrer d'Aribau, 272",41.3976961816985,2.14798442612812,InPost,Convenience stores,Private,Premises,Barcelona,Aribau Moviles Y Informatica,"Carrer d'Aribau, 272",8006,,,,7,Convenience Store,1,PUDO,INPOST,ARIBAU MOVILES Y INFORMATICA,CARRER D ARIBAU 272,BAR_LOC_000051,1,1,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,InPost,False
