profile,zone,day_of_week,start_time,end_time,multiplier,source,status
weekday_schedule,all,monday,00:00,07:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,monday,07:00,10:00,1.25,synthetic_test_profile,synthetic
weekday_schedule,all,monday,10:00,13:00,1.08,synthetic_test_profile,synthetic
weekday_schedule,all,monday,13:00,16:00,1.1,synthetic_test_profile,synthetic
weekday_schedule,all,monday,16:00,19:00,1.28,synthetic_test_profile,synthetic
weekday_schedule,all,monday,19:00,00:00,1.05,synthetic_test_profile,synthetic
weekday_schedule,all,tuesday,00:00,07:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,tuesday,07:00,10:00,1.23,synthetic_test_profile,synthetic
weekday_schedule,all,tuesday,10:00,13:00,1.06,synthetic_test_profile,synthetic
weekday_schedule,all,tuesday,13:00,16:00,1.08,synthetic_test_profile,synthetic
weekday_schedule,all,tuesday,16:00,19:00,1.26,synthetic_test_profile,synthetic
weekday_schedule,all,tuesday,19:00,00:00,1.04,synthetic_test_profile,synthetic
weekday_schedule,all,wednesday,00:00,07:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,wednesday,07:00,10:00,1.25,synthetic_test_profile,synthetic
weekday_schedule,all,wednesday,10:00,13:00,1.08,synthetic_test_profile,synthetic
weekday_schedule,all,wednesday,13:00,16:00,1.1,synthetic_test_profile,synthetic
weekday_schedule,all,wednesday,16:00,19:00,1.28,synthetic_test_profile,synthetic
weekday_schedule,all,wednesday,19:00,00:00,1.05,synthetic_test_profile,synthetic
weekday_schedule,all,thursday,00:00,07:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,thursday,07:00,10:00,1.27,synthetic_test_profile,synthetic
weekday_schedule,all,thursday,10:00,13:00,1.1,synthetic_test_profile,synthetic
weekday_schedule,all,thursday,13:00,16:00,1.12,synthetic_test_profile,synthetic
weekday_schedule,all,thursday,16:00,19:00,1.3,synthetic_test_profile,synthetic
weekday_schedule,all,thursday,19:00,00:00,1.06,synthetic_test_profile,synthetic
weekday_schedule,all,friday,00:00,07:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,friday,07:00,10:00,1.3,synthetic_test_profile,synthetic
weekday_schedule,all,friday,10:00,13:00,1.13,synthetic_test_profile,synthetic
weekday_schedule,all,friday,13:00,16:00,1.15,synthetic_test_profile,synthetic
weekday_schedule,all,friday,16:00,19:00,1.33,synthetic_test_profile,synthetic
weekday_schedule,all,friday,19:00,00:00,1.07,synthetic_test_profile,synthetic
weekday_schedule,all,saturday,00:00,07:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,saturday,07:00,10:00,1.13,synthetic_test_profile,synthetic
weekday_schedule,all,saturday,10:00,13:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,saturday,13:00,16:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,saturday,16:00,19:00,1.16,synthetic_test_profile,synthetic
weekday_schedule,all,saturday,19:00,00:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,sunday,00:00,07:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,sunday,07:00,10:00,1.07,synthetic_test_profile,synthetic
weekday_schedule,all,sunday,10:00,13:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,sunday,13:00,16:00,1.0,synthetic_test_profile,synthetic
weekday_schedule,all,sunday,16:00,19:00,1.1,synthetic_test_profile,synthetic
weekday_schedule,all,sunday,19:00,00:00,1.0,synthetic_test_profile,synthetic
