customer_id,lon,lat,demand,scenario,instance_size,districte,barri,seccio_censal,poblacion_seccion,postal_code,codi_carrer,numpost,lletra,x_etrs89,y_etrs89
0,2.1601690882144804,41.38073587077459,1,low,400,2,10,2162,1392,11,349706,35,,429776.616,4581363.991
1,2.124940359940217,41.37859258871933,1,low,400,4,20,4038,1231,28,38604,24,,426828.496,4581155.191
2,2.1747455099095787,41.442148774629395,2,low,400,8,51,8080,1647,42,173100,28,,431060.412,4588170.276
3,2.129147308077508,41.384699959925264,1,low,400,4,19,4030,1797,28,92600,10,,427187.093,4581829.679
4,2.155333345133254,41.42569664746232,1,low,400,7,37,7075,1282,32,269800,19,,429420.936,4586359.413
5,2.1953135186589283,41.420268361782895,1,low,400,10,72,10115,1440,20,307207,56,,432756.047,4585724.953
6,2.1661808955416464,41.39870138412355,2,low,400,2,7,2060,1767,37,145003,148,,430298.497,4583353.642
7,2.165746561696112,41.40769233541104,1,low,400,6,32,6078,1347,25,356304,33,,430271.802,4584352.156
8,2.165652905948332,41.37846912735716,2,low,400,1,1,1009,2388,1,76501,37,,430232.733,4581107.912
9,2.179112439267305,41.43189162604456,2,low,400,8,45,8021,1476,16,319104,100,,431414.419,4587028.065
10,2.14065575038205,41.364352246829085,2,low,400,3,13,3039,2760,38,701248,1,,428126.939,4579561.104
11,2.1359827530110955,41.39981730535126,1,low,400,5,26,5049,1746,21,358900,23,,427775.353,4583502.266
12,2.1454690884492984,41.39924456665182,1,low,400,5,26,5074,1661,21,23403,267,,428567.712,4583430.816
13,2.1800654107879063,41.397946156644004,2,low,400,2,5,2008,1944,13,169409,762,,431458.363,4583258.72
14,2.184678407505752,41.413358373736834,1,low,400,10,64,10002,1939,26,224802,44,,431860.09,4584966.126
15,2.2095041837264793,41.42143835040754,1,low,400,10,73,10142,1736,20,150852,70,,433943.091,4585843.922
16,2.163289935041054,41.43569067385956,1,low,400,7,43,7105,1148,31,88602,20,,430096.505,4587462.488
17,2.184767915819291,41.409129717903205,1,low,400,10,64,10014,1408,26,286300,23,,431863.152,4584496.595
18,2.174701741385007,41.38015828696094,1,low,400,1,2,1029,1522,2,276001,3,,430991.18,4581288.195
19,2.1971460654248745,41.414898344623346,1,low,400,10,72,10109,1787,20,86200,124,,432903.659,4585127.358
20,2.168009186974479,41.37941061237337,1,low,400,1,1,1010,2666,1,701367,2,,430430.768,4581210.54
21,2.152792066199687,41.42281907803864,2,low,400,7,37,7077,1324,32,224405,64,,429205.463,4586042.022
22,2.1394828017476675,41.371076188096026,2,low,400,3,16,3060,1398,14,10503,56,,428036.246,4580308.557
23,2.2009038094306925,41.4204189108099,2,low,400,10,73,10131,1006,20,60807,34,,433223.36,4585737.341
24,2.1317716734496464,41.38693846587332,1,low,400,4,19,4027,1404,14,53109,28,,427409.011,4582075.993
25,2.173745021072661,41.395289732234374,2,low,400,2,7,2069,1373,9,100800,334,,430927.199,4582968.827
26,2.1826935358925312,41.443897517958376,1,low,400,8,52,8100,1349,16,89900,60,,431726.208,4588358.121
27,2.156925485562901,41.37840787488813,1,low,400,2,10,2158,1676,15,54509,72,,429502.882,4581108.174
28,2.1678061715403394,41.41490920315518,2,low,400,7,33,7015,1422,24,73900,436,,430451.647,4585151.709
29,2.18094347734641,41.413263856835826,1,low,400,10,64,10006,1900,26,90502,713,,431547.844,4584958.578
30,2.1519697761427756,41.38392900547395,1,low,400,2,9,2138,1983,15,361406,184,,429094.484,4581725.164
31,2.189728934232384,41.44084638924832,2,low,400,9,60,9037,1743,30,350705,11,,432310.745,4588013.861
32,2.1516925153587247,41.42387618762232,1,low,400,7,37,7078,1516,32,224405,25,,429114.731,4586160.281
33,2.1773141797458146,41.443797084991246,1,low,400,8,51,8075,2022,42,36700,28,,431276.733,4588351.228
34,2.1789375274505383,41.37859696851947,2,low,400,1,2,1030,2543,2,106205,3,,431343.724,4581111.496
35,2.185304046251843,41.440959283403075,1,low,400,8,52,8095,1165,16,209900,493,,431941.209,4588029.864
36,2.1786178118227806,41.43453455417621,2,low,400,8,45,8028,1079,16,117609,42,,431375.876,4587321.873
37,2.1898077096122526,41.41243075450681,1,low,400,10,65,10031,1584,26,350308,678,,432287.808,4584859.12
38,2.1499388213005624,41.37686673772897,1,low,400,2,9,2149,1872,15,184402,26,,428916.98,4580942.786
39,2.174364280932023,41.44695167982367,1,low,400,8,50,8069,1668,42,359700,51,,431033.651,4588703.796
40,2.151202200197375,41.42326190213566,1,low,400,7,37,7078,1516,32,299302,12,,429073.091,4586092.485
41,2.138035247847488,41.40925147399224,1,low,400,5,27,5094,2827,22,131202,8,,427957.348,4584547.928
42,2.158487315636266,41.38173733481922,2,low,400,2,10,2160,2083,15,169409,520,,429637.071,4581476.536
43,2.156691341315762,41.421433628378765,1,low,400,7,37,7065,1856,32,6801,32,,429529.8,4585885.03
44,2.1571097320302237,41.41921936507009,2,low,400,7,37,7064,1685,32,320307,155,,429562.37,4585638.864
45,2.132606258837793,41.38007297065319,2,low,400,3,18,3087,1551,28,172403,91,,427471.161,4581313.097
46,2.154644535660806,41.37643682354464,1,low,400,2,10,2151,1543,15,110803,23,,429310.015,4580891.209
47,2.157427747744175,41.37754516531093,2,low,400,2,10,2157,1284,15,127704,60,,429543.95,4581011.989
48,2.158390216739281,41.374366481580424,1,low,400,3,11,3001,1711,4,281806,7,,429621.006,4580658.315
49,2.1837890276248406,41.43371677882225,1,low,400,9,60,9046,1304,30,209900,442,,431807.064,4587226.998
50,2.1929455933131643,41.43264444159649,2,low,400,9,60,9023,1210,30,366104,95,,432570.975,4587100.776
51,2.1414573979823697,41.385218694915736,1,low,400,4,19,4001,1254,29,199909,90,,428216.933,4581876.998
52,2.1447361802981035,41.372448926815736,2,low,400,3,15,3054,1684,14,169409,301,,428477.086,4580456.608
53,2.1410440174076313,41.38267888861549,2,low,400,3,18,3113,1595,29,285104,130,,428179.575,4581595.375
54,2.1642643482188744,41.371383124166194,2,low,400,3,11,3023,1839,4,261004,99,,430109.037,4580322.355
55,2.1273167498088617,41.38022781730953,1,low,400,4,20,4037,2256,28,196208,8,,427029.037,4581334.728
56,2.187277246394678,41.41199534764405,2,low,400,10,65,10027,1549,26,209900,178,,432075.868,4584812.763
57,2.1767421742683473,41.40757626562986,2,low,400,2,6,2034,1202,25,73900,295,,431190.718,4584330.477
58,2.179687772014016,41.42533172206051,1,low,400,9,62,9077,1676,27,120909,28,,431455.589,4586299.334
59,2.140331309381134,41.367301259381385,1,low,400,3,14,3040,2019,38,212406,64,,428103.05,4579888.767
60,2.1762464137374278,41.44136728364624,1,low,400,8,51,8081,1747,42,239708,53,,431184.969,4588082.321
61,2.139776800946031,41.381780119597394,2,low,400,3,18,3111,1331,14,207406,161,,428072.627,4581496.646
62,2.1464070966666524,41.40899808863243,2,low,400,5,27,5090,1956,23,344305,1,,428656.793,4584512.868
63,2.1386011462648646,41.381960509247065,2,low,400,3,18,3112,1896,14,285104,51,,427974.523,4581517.649
64,2.1343177598130554,41.3605790622644,1,low,400,3,13,3027,1690,38,265504,30,,427592.66,4579147.486
65,2.2047080166107222,41.41472987573013,1,low,400,10,71,10101,1797,20,253902,240,,433535.462,4585102.824
66,2.1424543899842097,41.36934363293226,1,low,400,3,14,3041,1400,4,191601,4,,428282.855,4580113.749
67,2.144807625517906,41.394564891760105,2,low,400,5,26,5061,1518,21,264206,57,,428507.29,4582911.83
68,2.1680180963960622,41.40024933480682,1,low,400,2,7,2057,1272,37,305100,117,,430453.726,4583524.017
69,2.180572276632765,41.428567944813864,2,low,400,8,44,8017,1338,16,111704,61,,431532.898,4586657.917
70,2.170707134397771,41.41303971640199,2,low,400,7,33,7012,1599,25,192604,48,,430692.102,4584941.835
71,2.167826570978551,41.41557212012243,2,low,400,7,33,7015,1422,24,365702,94,,430454.059,4585225.289
72,2.1809730706661994,41.431226951192684,1,low,400,8,45,8020,1477,16,355709,60,,431569.179,4586952.801
