customer_id,lon,lat,demand,scenario,instance_size,districte,barri,seccio_censal,poblacion_seccion,postal_code,codi_carrer,numpost,lletra,x_etrs89,y_etrs89
0,2.1136148505161776,41.334186225912575,8,high,800,3,12,3025,3174,40,701485,26,,425831.063,4576234.905
1,2.1673842733624453,41.37003770358623,7,high,800,3,11,3024,2031,38,213307,57,,430368.518,4580170.478
2,2.1303021479272095,41.371622706078725,7,high,800,3,17,3071,1422,28,328808,104,,427269.083,4580376.893
3,2.1568284938475566,41.4210116796082,7,high,800,7,37,7065,1856,32,6801,48,,429540.805,4585838.074
4,2.1570106228076,41.42049197802133,7,high,800,7,37,7065,1856,32,6801,64,,429555.463,4585780.229
5,2.1898544162313986,41.439178708721315,6,high,800,9,60,9038,1751,30,176506,19,,432319.495,4587828.618
6,2.177997542643066,41.400145741466574,6,high,800,2,5,2020,1713,13,89004,482,,431287.817,4583504.553
7,2.1271541944810535,41.37512021652511,6,high,800,3,17,3078,1754,28,50905,4,,427009.734,4580767.827
8,2.1397788987232342,41.40486423026391,5,high,800,5,25,5038,1450,22,32700,381,,428098.246,4584059.412
9,2.1884829587982404,41.42154802996353,10,high,800,9,61,9066,1468,27,297001,508,,432186.575,4585872.347
10,2.174818509014889,41.41141459589421,6,high,800,2,6,2040,1783,25,297001,226,,431033.993,4584758.134
11,2.1787099639135867,41.443353570607584,5,high,800,8,52,8088,1334,16,174307,120,,431392.864,4588300.882
12,2.1835532791927674,41.43290157167342,5,high,800,9,60,9048,1345,30,209900,424,,431786.514,4587136.68
13,2.1769215728988818,41.387788196387554,10,high,800,1,4,1050,1593,3,48109,3,,431184.842,4582133.49
14,2.148461160544418,41.40189124230258,7,high,800,5,27,5081,1621,6,205900,12,,428820.717,4583722.184
15,2.17013912076305,41.394001065250805,6,high,800,2,7,2071,1695,9,49509,80,,430624.382,4582828.642
16,2.1770194950878756,41.381377274352666,7,high,800,1,2,1027,1622,2,264501,4,,431186.27,4581421.682
17,2.1377764704551745,41.37448849000422,5,high,800,3,18,3101,6718,14,319603,66,,427897.315,4580688.803
18,2.1915419013651753,41.37891184514216,6,high,800,1,3,1035,1151,3,293306,43,,432398.022,4581136.545
19,2.180704878967339,41.39701060829666,6,high,800,2,5,2008,1944,13,71600,133,,431510.837,4583154.351
20,2.1450522928717275,41.40517189626661,9,high,800,5,27,5085,1355,6,240208,64,,428539.365,4584089.205
21,2.188007618694266,41.394290227475246,5,high,800,10,66,10044,1623,18,197302,102,,432118.486,4582846.591
22,2.1642588468178703,41.373173196064926,7,high,800,3,11,3014,1875,4,330504,35,,430110.493,4580521.09
23,2.140224613486322,41.38167924062285,9,high,800,3,18,3107,1857,14,110100,16,,428109.96,4581485.075
24,2.139608557807494,41.37324514056297,10,high,800,3,18,3103,1140,14,151200,36,,428049.153,4580549.246
25,2.1395355967369163,41.38721808397187,8,high,800,4,19,4014,757,29,219100,16,,428058.453,4582100.561
26,2.1624979506594686,41.425836354506956,6,high,800,7,36,7055,1226,32,60002,9,,430019.755,4586369.108
27,2.1400960349476614,41.36100516963649,7,high,800,3,13,3033,1547,38,137300,42,,428076.44,4579189.982
28,2.134348554440023,41.36709339075703,6,high,800,3,16,3065,1393,14,30602,34,,427602.457,4579870.669
29,2.1322326761466526,41.38899558104459,8,high,800,4,19,4027,1404,14,700809,1,,427449.842,4582303.985
30,2.1808024196805813,41.395895048425814,6,high,800,2,5,2005,4045,13,325005,105,,431517.82,4583030.426
31,2.1655777714402844,41.37278010395659,8,high,800,3,11,3014,1875,4,294207,45,,430220.37,4580476.387
32,2.1874284901552636,41.41343122584381,8,high,800,10,65,10028,1808,26,257608,6,,432090.004,4584972.054
33,2.200557026137849,41.42180369659896,10,high,800,10,73,10132,1246,20,208205,94,,433195.8,4585891.346
34,2.1723351316822543,41.427904417013366,7,high,800,8,44,8010,1141,31,69109,42,,430843.935,4586590.799
35,2.1397715788571223,41.39936343434492,10,high,800,5,26,5052,1424,21,134404,45,,428091.57,4583448.726
36,2.1624050623333173,41.414834870437105,7,high,800,7,34,7020,1725,24,351107,20,,430000.18,4585147.808
37,2.145119224787817,41.38423199290987,9,high,800,2,9,2124,1148,29,289105,41,,428522.022,4581764.429
38,2.1710969359959296,41.425615284388314,8,high,800,7,36,7053,1449,32,307309,9,,430738.043,4586337.651
39,2.137537462878636,41.364200182468494,9,high,800,3,13,3212,2612,38,212406,14,,427865.964,4579546.812
40,2.143993185664015,41.4108176146288,7,high,800,5,27,5091,1557,23,95608,77,,428457.033,4584716.861
41,2.1662652268409968,41.38587984354578,9,high,800,2,7,2077,1843,1,250904,7,,430291.85,4581930.145
42,2.1623412293512763,41.40056308541404,7,high,800,6,31,6056,1702,12,178909,45,,429979.523,4583563.422
43,2.1763213924335485,41.380284080519246,7,high,800,1,2,1029,1522,2,112401,7,,431126.744,4581300.872
44,2.171824532952208,41.407468309559064,7,high,800,2,6,2045,1214,25,161407,116,,430779.575,4584322.41
45,2.1470398722133432,41.37235460280398,9,high,800,3,14,3046,1521,4,300004,9,,428669.635,4580444.238
46,2.17730074879826,41.423504646879664,8,high,800,7,35,7044,1365,41,152905,253,,431254.203,4586098.386
47,2.1758603486347927,41.41933616085721,5,high,800,7,35,7033,1493,41,364506,16,,431129.436,4585636.749
48,2.179112439267305,41.43189162604456,9,high,800,8,45,8021,1476,16,319104,100,,431414.419,4587028.065
49,2.1412366435225603,41.42434979807239,9,high,800,7,39,7089,1433,35,252455,6,,428241.543,4586221.473
50,2.1938133939417717,41.433138792877756,5,high,800,9,60,9016,1261,30,245405,32,,432643.991,4587154.983
