Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Mobil Mania,"Rambla del Raval, 6",41.37900448,2.168618126
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Impremta Sebtor,"Carrer de l'Hospital, 157",41.37964683,2.16641824
INPOST,Lockers,Private,Parking,Barcelona,8001,Lockers 24/7 Saba Illa Raval Bar,"C. de San Rafael, 15",41.37909283,2.170132968
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Copisteria Geografia Ub,"Carrer de les Ramelleres, 21",41.38456617,2.168337411
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Copywork,"C. de Joaquín Costa, 2",41.38117687,2.167544411
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Madiha Fashion,"Carrer Nou de la Rambla, 22",41.37872053,2.173423182
INPOST,Convenience stores,Private,Kiosk,Barcelona,8001,Kiosco De Prensa,"Rda. de Sant Antoni, 100",41.38513496,2.164181984
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Copypelai,"Carrer de Pelai, 9",41.38608841,2.16653154
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Phonix The Smart Point,"Carrer de Jovellanos, 1",41.38509057,2.16788654
INPOST,Convenience stores,Private,Premises,Barcelona,8001,Fiber Sonic,"Carrer del Tigre, 33",41.38235162,2.163863711
INPOST,Convenience stores,Private,Premises,Barcelona,8002,Taha Mobile Shop,"Carrer d'Avinyó, 29",41.38070518,2.178441397
INPOST,Convenience stores,Private,Premises,Barcelona,8002,Te Habla Mobile Mobile,"Carrer de Josep Anselm Clavé, 27",41.37819163,2.178097355
INPOST,Convenience stores,Private,Premises,Barcelona,8002,Libreria Balmes,"Carrer de Duran i Bas, 11",41.38581306,2.174573184
INPOST,Convenience stores,Private,Premises,Barcelona,8003,Estanc Bcn 159,"Placeta de Montcada, 6",41.38455102,2.181984597
INPOST,Lockers,Private,Parking,Barcelona,8003,Lockers 24/7 Saba Barceloneta Ba,"Carrer del Baluard, 27S",41.38009183,2.189056226
INPOST,Convenience stores,Private,Premises,Barcelona,8003,Punto Y Coma,Carrer De Pepe Rubianes 12,41.37837938,2.189317824
INPOST,Convenience stores,Private,Premises,Barcelona,8003,Instalaciones De La Fuente,"Carrer de la Mediterrània, 4",41.38205102,2.188903868
INPOST,Convenience stores,Private,Premises,Barcelona,8003,Estanc La Barceloneta,"Carrer d'Andrea Dòria, 8",41.38028203,2.189947311
INPOST,Convenience stores,Private,Premises,Barcelona,8003,Mega Mobile,"Carrer de Sant Pere Més Baix, 92",41.38885845,2.179376697
INPOST,Convenience stores,Private,Premises,Barcelona,8003,La Casa De Les Sabatilles,"Carrer de Sant Pere Més Alt, 76",41.3896218,2.178442468
INPOST,Convenience stores,Private,Premises,Barcelona,8003,Mamy Blu,"Carrer de Méndez Núñez, 4",41.38969421,2.178449397
INPOST,Lockers,Private,Parking,Barcelona,8003,Lockers 24/7 Parking Bamsa Franc,"Av. de Francesc Cambó, 10",41.38574951,2.177246295
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Envios Radas 25 Sl,"Carrer de Radas, 9",41.37446764,2.161308197
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Mi Casa Plantas,"Carrer de la Concòrdia, 36",41.37331295,2.159825626
INPOST,Lockers,Private,Parking,Barcelona,8004,Lockers 24/7 Parking Grupo Bolto,"Carrer de la Concòrdia, 19",41.3734623,2.160167811
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Red Diamond Manos Emprendedoras,"Carrer de Murillo, 5",41.37304345,2.162115282
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Manikurate,"Carrer de Vallhonrat, 21",41.37411885,2.157165241
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Clickstar Movil,"Av. del Paralelo, 165",41.37485089,2.156456668
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Bibliomusicineteca Llibreria,"Calle de Vila i Vila, 76",41.37462474,2.168532255
INPOST,Convenience stores,Private,Premises,Barcelona,8004,La Matalasseria,"Carrer del Roser, 6",41.37445269,2.167213384
INPOST,Lockers,Private,Premises,Barcelona,8004,Lockers Envios Roser,"Carrer del Roser, 12",41.37416689,2.166900755
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Haaf Medios Digitales,"Carrer de Piquer, 37",41.37337254,2.168949955
INPOST,Lockers,Private,Premises,Barcelona,8004,Lockers Money Exchange 08004,"Carrer de Mata, 1",41.3735596,2.171162253
INPOST,Convenience stores,Private,Premises,Barcelona,8004,Musculmania,Gran Via de les Corts Catalanes,41.39408739,2.174539953
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Expendeduria 63,"Rbla. del Poblenou, 51",41.40032268,2.202055095
INPOST,Lockers,Private,Premises,Barcelona,8005,Lockers 24/7 Q8 Taulat,"CCarrer de la Ciutat de Granada, 1",41.3962535,2.20109527
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Estanc 316,"Carrer de l'Arquitecte Sert, 18",41.3917752,2.19853224
INPOST,Lockers,Public,Parking,Barcelona,8005,Lockers 24/7 Bsm Parking Bilbao,"Carrer de Bilbao, 29",41.40144337,2.205484626
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Narosa Sweet Party,"Carrer de Marià Aguiló, 129",41.40016712,2.205427684
INPOST,Lockers,Private,Premises,Barcelona,8005,Lockers Tmb Bogatell L4,"Carrer de Pujades, 82",41.39550134,2.192613682
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Farmacia Bogatell Bcn,"Av. del Bogatell, 19",41.39293933,2.196444682
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Papeleria Copi Rapit,"Carrer del Joncar, 47",41.40239159,2.205192878
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Bol Mobils,"Carrer de la Marina, 22",41.38896346,2.19542124
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Lestanc De Loscar,"Rbla. del Poblenou, 77",41.40185098,2.200177082
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Mail Boxes Etc,"Carrer de Bilbao, 91",41.40445032,2.201409013
INPOST,Convenience stores,Private,Premises,Barcelona,8005,La Rotonda Port Olimpic,"Carrer de la Marina, 16",41.38773161,2.197182495
INPOST,Convenience stores,Private,Premises,Barcelona,8005,Papeleria La Mar De Papers,"P.º del Taulat, 156",41.40266027,2.210232353
